City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Alyangula,AU,2022-01-30 01:52:20,-13.8483,136.4192,85.87,74,100,14.97
59,Kamenka,RU,2022-01-30 01:52:21,51.3223,42.7678,31.75,98,100,6.38
60,Souillac,MU,2022-01-30 01:52:21,-20.5167,57.5167,79.18,78,20,3.44
61,Cape Town,ZA,2022-01-30 01:48:25,-33.9258,18.4232,70.21,69,0,3.0
62,Sorland,NO,2022-01-30 01:52:22,67.667,12.6934,36.19,58,100,23.76
63,Nome,US,2022-01-30 01:48:41,64.5011,-165.4064,-3.93,54,0,0.0
64,Iqaluit,CA,2022-01-30 01:52:22,63.7506,-68.5145,-13.27,69,100,5.99
65,Paamiut,GL,2022-01-30 01:52:22,61.994,-49.6678,14.07,65,100,14.25
66,Otuzco,PE,2022-01-30 01:52:23,-7.9,-78.5833,34.12,86,100,2.24
67,Tuatapere,NZ,2022-01-30 01:52:23,-46.1333,167.6833,66.36,67,100,3.74
68,Severo-Kurilsk,RU,2022-01-30 01:52:23,50.6789,156.125,24.87,85,100,15.26
69,Miranda,CO,2022-01-30 01:52:24,3.2499,-76.2281,73.53,92,94,4.7
70,Lac Du Bonnet,CA,2022-01-30 01:52:24,50.2536,-96.0612,6.48,98,99,4.92
71,Busselton,AU,2022-01-30 01:52:25,-33.65,115.3333,79.09,54,6,12.33
72,Tuktoyaktuk,CA,2022-01-30 01:48:30,69.4541,-133.0374,-5.8,84,75,14.97
73,Sur,OM,2022-01-30 01:52:25,22.5667,59.5289,69.76,51,3,2.98
74,Balkanabat,TM,2022-01-30 01:52:25,39.5108,54.3671,39.69,62,1,3.04
75,Ilhabela,BR,2022-01-30 01:52:26,-23.7781,-45.3581,73.47,96,100,1.32
76,Pevek,RU,2022-01-30 01:52:02,69.7008,170.3133,-16.47,99,100,4.27
77,Cidreira,BR,2022-01-30 01:52:26,-30.1811,-50.2056,71.19,67,15,10.8
78,Raigarh,IN,2022-01-30 01:52:27,21.9,83.4,54.52,39,0,2.98
79,Bilma,NE,2022-01-30 01:52:11,18.6853,12.9164,55.0,23,0,12.06
80,Dikson,RU,2022-01-30 01:52:27,73.5069,80.5464,7.93,94,100,18.39
81,Airai,TL,2022-01-30 01:49:40,-8.9266,125.4092,66.25,80,100,4.29
82,Mahebourg,MU,2022-01-30 01:52:28,-20.4081,57.7,79.09,78,20,3.44
83,Lake Havasu City,US,2022-01-30 01:50:56,34.4839,-114.3224,62.6,12,20,3.0
84,Rafaela,AR,2022-01-30 01:52:28,-31.2503,-61.4867,72.0,70,0,4.88
85,Aklavik,CA,2022-01-30 01:52:28,68.2191,-135.0107,-17.57,89,100,5.14
86,Esperance,AU,2022-01-30 01:52:29,-33.8667,121.9,82.24,44,12,7.52
87,Mataura,NZ,2022-01-30 01:51:17,-46.1927,168.8643,57.67,97,100,2.62
88,Kaitangata,NZ,2022-01-30 01:52:29,-46.2817,169.8464,57.07,95,100,4.68
89,Igrim,RU,2022-01-30 01:52:30,63.1906,64.4162,3.22,95,100,4.85
90,Mocuba,MZ,2022-01-30 01:52:30,-16.8392,36.9856,70.18,99,27,2.77
91,Henties Bay,NA,2022-01-30 01:52:30,-22.116,14.2845,61.86,84,88,3.83
92,Cherskiy,RU,2022-01-30 01:52:31,68.75,161.3,-25.91,99,99,1.59
93,Nanchang,CN,2022-01-30 01:52:31,28.6833,115.8833,39.2,79,77,4.23
94,Dongying,CN,2022-01-30 01:52:31,37.4564,118.4856,33.3,35,0,3.49
95,Nyurba,RU,2022-01-30 01:53:32,63.2842,118.3319,-19.84,99,91,4.61
96,Saint-Philippe,RE,2022-01-30 01:53:32,-21.3585,55.7679,76.59,84,83,9.66
97,Saldanha,ZA,2022-01-30 01:53:32,-33.0117,17.9442,60.85,83,0,13.31
98,Tasiilaq,GL,2022-01-30 01:53:33,65.6145,-37.6368,7.14,70,100,11.01
99,Sambava,MG,2022-01-30 01:53:33,-14.2667,50.1667,73.18,91,100,4.56
100,Arraial Do Cabo,BR,2022-01-30 01:53:33,-22.9661,-42.0278,74.19,96,100,11.61
101,Gorontalo,ID,2022-01-30 01:53:34,0.5412,123.0595,87.55,61,99,3.74
102,Bengkulu,ID,2022-01-30 01:53:34,-3.8004,102.2655,79.97,81,100,3.89
103,Mar Del Plata,AR,2022-01-30 01:53:34,-38.0023,-57.5575,73.42,66,0,23.0
104,Fare,PF,2022-01-30 01:53:35,-16.7,-151.0167,80.85,71,97,6.98
