City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
336,Wittmund,53.5667,7.7833,40.01,92,75,8.05,DE,2022-01-31 06:43:44,light intensity drizzle rain
337,College,64.8569,-147.8028,-21.01,70,0,0.0,US,2022-01-31 06:43:45,light snow
338,Sola,-13.8833,167.55,86.67,74,75,0.0,VU,2022-01-31 06:43:45,broken clouds
339,Agucadoura,41.4318,-8.7804,41.23,53,0,4.29,PT,2022-01-31 06:43:46,clear sky
340,Mount Isa,-20.7333,139.5,76.77,100,40,5.75,AU,2022-01-31 06:43:46,thunderstorm with light rain
341,Alofi,-19.0595,-169.9187,76.89,83,100,3.44,NU,2022-01-31 06:43:46,overcast clouds
342,Dwarka,22.2394,68.9678,75.85,64,0,10.8,IN,2022-01-31 06:43:47,clear sky
343,Hilo,19.7297,-155.09,69.53,83,75,6.91,US,2022-01-31 06:43:47,light rain
344,Sainte-Anne-Des-Monts,49.124,-66.4924,10.27,61,100,18.41,CA,2022-01-31 06:40:35,overcast clouds
345,Chabahar,25.2919,60.643,74.28,56,0,13.24,IR,2022-01-31 06:43:47,clear sky
346,San Andres,12.5847,-81.7006,77.02,83,20,12.66,CO,2022-01-31 06:43:48,few clouds
347,Pacific Grove,36.6177,-121.9166,51.28,90,0,1.99,US,2022-01-31 06:42:23,clear sky
348,Tabou,4.423,-7.3528,76.91,87,12,2.68,CI,2022-01-31 06:43:48,few clouds
349,Lipay,15.4561,119.9208,83.32,71,39,4.88,PH,2022-01-31 06:43:48,scattered clouds
350,Khao Yoi,13.2403,99.8243,94.98,33,10,11.41,TH,2022-01-31 06:43:49,light rain
351,Halifax,44.6453,-63.5724,19.4,80,51,1.01,CA,2022-01-31 06:41:14,broken clouds
352,Krasnoselkup,65.7,82.4667,7.66,93,100,11.39,RU,2022-01-31 06:43:49,overcast clouds
353,Vanimo,-2.6741,141.3028,78.19,82,100,10.69,PG,2022-01-31 06:43:50,moderate rain
354,Abnub,27.2696,31.1511,46.62,51,87,14.09,EG,2022-01-31 06:43:50,overcast clouds
355,Sun Valley,39.5963,-119.776,44.92,45,75,5.01,US,2022-01-31 06:41:09,broken clouds
356,Svetlogorsk,52.6333,29.7333,28.63,96,100,10.27,BY,2022-01-31 06:43:50,light snow
357,Ciro Marina,39.3732,17.126,53.62,68,0,4.54,IT,2022-01-31 06:43:51,clear sky
358,Christchurch,-43.5333,172.6333,67.91,71,64,5.01,NZ,2022-01-31 06:43:51,broken clouds
359,Te Anau,-45.4167,167.7167,69.26,77,66,3.91,NZ,2022-01-31 06:43:51,broken clouds
360,Folkestone,51.0833,1.1833,44.33,70,95,18.99,GB,2022-01-31 06:43:52,overcast clouds
361,Orange,33.7,-117.7675,58.08,56,0,0.0,US,2022-01-31 06:43:52,clear sky
362,Tilichiki,60.4667,166.1,10.49,94,100,11.07,RU,2022-01-31 06:43:52,light snow
363,Hollins,37.3413,-79.9431,27.18,75,0,0.0,US,2022-01-31 06:43:53,clear sky
364,Viedma,-40.8135,-62.9967,55.56,45,2,6.91,AR,2022-01-31 06:43:53,clear sky
365,Bandarbeyla,9.4942,50.8122,79.09,71,100,19.01,SO,2022-01-31 06:44:54,overcast clouds
366,Comodoro Rivadavia,-45.8667,-67.5,55.26,38,0,16.11,AR,2022-01-31 06:44:54,clear sky
367,Ust-Kan,50.9276,84.761,19.44,79,47,2.98,RU,2022-01-31 06:44:54,scattered clouds
368,Shizunai,42.3339,142.3669,22.59,63,100,14.7,JP,2022-01-31 06:44:55,overcast clouds
369,Tingi,-11.3,35.0333,71.42,78,42,2.08,TZ,2022-01-31 06:44:55,light rain
370,Salamanca,40.8333,-6.0,37.74,48,0,4.79,ES,2022-01-31 06:44:55,clear sky
371,Gilgit,35.9221,74.3087,33.84,65,99,1.03,PK,2022-01-31 06:44:56,overcast clouds
372,Necochea,-38.5473,-58.7368,57.76,54,16,11.81,AR,2022-01-31 06:44:56,few clouds
373,Placido De Castro,-10.3353,-67.1856,71.33,99,100,0.2,BR,2022-01-31 06:44:56,overcast clouds
374,Lima,-12.0432,-77.0282,68.9,85,0,4.61,PE,2022-01-31 06:44:57,clear sky
375,Soto,-32.8107,-61.4026,73.11,54,0,6.67,AR,2022-01-31 06:44:57,clear sky
376,Saint Anthony,45.0205,-93.218,14.97,84,0,4.0,US,2022-01-31 06:44:57,clear sky
377,Nanchang,28.6833,115.8833,45.0,72,100,5.61,CN,2022-01-31 06:44:58,light rain
378,Carballo,43.213,-8.691,46.76,89,17,5.12,ES,2022-01-31 06:44:58,few clouds
379,Kirakira,-10.4544,161.9205,82.85,80,80,5.46,SB,2022-01-31 06:44:58,broken clouds
380,Muslyumovo,55.3033,53.1947,17.15,95,69,5.32,RU,2022-01-31 06:44:59,broken clouds
381,Koumac,-20.5667,164.2833,80.08,74,70,7.23,NC,2022-01-31 06:44:59,broken clouds
382,Maraba,-5.3686,-49.1178,77.18,100,40,0.0,BR,2022-01-31 06:45:00,scattered clouds
383,Lerwick,60.1545,-1.1494,39.2,56,100,30.65,GB,2022-01-31 06:45:00,overcast clouds
384,Motygino,58.1831,94.7592,8.6,89,100,1.12,RU,2022-01-31 06:45:00,overcast clouds
385,Fare,-16.7,-151.0167,80.44,73,15,9.4,PF,2022-01-31 06:45:01,light rain
386,Nemuro,43.3236,145.575,18.03,47,40,15.97,JP,2022-01-31 06:45:01,scattered clouds
387,Pahrump,36.2083,-115.9839,50.76,23,4,0.65,US,2022-01-31 06:45:01,clear sky
388,Nizhniy Ufaley,55.9153,59.9842,22.24,89,98,1.63,RU,2022-01-31 06:45:02,overcast clouds
389,Hailey,43.5196,-114.3153,17.46,67,0,8.05,US,2022-01-31 06:45:02,clear sky
390,Lagunas,-5.2269,-75.6753,71.8,96,86,2.71,PE,2022-01-31 06:45:03,overcast clouds
391,Miracema Do Tocantins,-9.5618,-48.3967,70.18,97,100,1.63,BR,2022-01-31 06:45:04,moderate rain
392,Dubove,48.1721,23.8895,31.62,96,83,5.23,UA,2022-01-31 06:45:04,light snow
393,Rach Gia,10.0167,105.0833,85.95,51,13,6.87,VN,2022-01-31 06:45:04,few clouds
394,Asfi,32.2994,-9.2372,63.19,53,62,8.32,MA,2022-01-31 06:45:05,broken clouds
395,Payson,40.0444,-111.7321,34.39,62,0,0.0,US,2022-01-31 06:45:06,clear sky
396,Dingle,10.9995,122.6711,84.29,70,100,9.78,PH,2022-01-31 06:45:06,overcast clouds
397,Yerbogachen,61.2767,108.0108,-5.44,95,99,4.72,RU,2022-01-31 06:45:07,overcast clouds
398,Dosso,13.049,3.1937,64.27,14,11,15.66,NE,2022-01-31 06:45:07,few clouds
399,Dashitou,43.3067,128.5114,13.24,72,3,6.22,CN,2022-01-31 06:45:07,clear sky
400,Shiraz,29.6036,52.5388,51.24,35,0,0.0,IR,2022-01-31 06:44:35,dust
401,Oranjemund,-28.55,16.4333,68.81,81,36,6.58,NA,2022-01-31 06:45:08,scattered clouds
402,Bairiki,1.3292,172.9752,84.2,79,40,10.36,KI,2022-01-31 06:45:08,light rain
403,Gobabis,-22.45,18.9667,69.96,72,99,15.3,NA,2022-01-31 06:45:09,overcast clouds
404,Kahului,20.8947,-156.47,74.84,72,75,5.75,US,2022-01-31 06:45:09,broken clouds
405,Boa Vista,2.8197,-60.6733,78.78,69,40,8.05,BR,2022-01-31 06:45:09,scattered clouds
406,Stornoway,58.2093,-6.3865,37.92,82,40,4.0,GB,2022-01-31 06:45:10,scattered clouds
407,Katsuura,35.1333,140.3,48.31,33,98,8.79,JP,2022-01-31 06:45:10,overcast clouds
408,Colares,38.7992,-9.4469,54.9,57,0,5.01,PT,2022-01-31 06:45:11,clear sky
409,Bilma,18.6853,12.9164,51.87,20,6,16.28,NE,2022-01-31 06:46:11,clear sky
410,Gravdal,68.1214,13.5031,33.69,80,100,11.5,NO,2022-01-31 06:46:11,overcast clouds
411,Vila Franca Do Campo,37.7167,-25.4333,59.41,82,95,14.85,PT,2022-01-31 06:46:12,overcast clouds
412,Kovdor,67.5662,30.4758,1.71,99,94,1.9,RU,2022-01-31 06:46:12,overcast clouds
413,Kabo,7.6994,18.629,75.34,16,45,8.03,CF,2022-01-31 06:46:13,scattered clouds
414,Pocone,-16.2567,-56.6228,72.0,98,100,5.97,BR,2022-01-31 06:46:13,light rain
415,Watsa,3.0372,29.5355,78.66,23,73,4.9,CD,2022-01-31 06:46:13,broken clouds
416,Terney,45.0503,136.6092,14.86,61,7,9.64,RU,2022-01-31 06:46:14,clear sky
417,Wilmington,34.2257,-77.9447,49.86,68,3,7.2,US,2022-01-31 06:45:25,clear sky
418,Villa Bruzual,9.3328,-69.1208,71.15,67,77,7.67,VE,2022-01-31 06:46:14,broken clouds
419,Praia,14.9215,-23.5087,68.54,83,75,18.41,CV,2022-01-31 06:46:15,broken clouds
420,Durango,24.8333,-104.8333,45.27,52,5,6.51,MX,2022-01-31 06:44:17,clear sky
421,Palafrugell,41.9174,3.1631,45.72,71,0,5.55,ES,2022-01-31 06:46:15,clear sky
422,Mao,39.8885,4.2658,43.36,93,20,4.61,ES,2022-01-31 06:46:15,few clouds
423,Gucheng,35.9115,111.3192,34.65,22,18,8.84,CN,2022-01-31 06:46:16,few clouds
424,Ouesso,1.6136,16.0517,78.01,26,12,3.42,CG,2022-01-31 06:46:16,few clouds
425,Pietroasa,46.5833,22.55,25.72,97,100,3.47,RO,2022-01-31 06:46:17,light snow
426,Najran,17.4924,44.1277,63.25,27,0,3.29,SA,2022-01-31 06:46:17,clear sky
427,Severnyy,50.677,36.5532,30.24,93,100,11.18,RU,2022-01-31 06:46:17,snow
428,Bulolo,-7.2,146.65,78.57,73,100,4.68,PG,2022-01-31 06:46:18,overcast clouds
429,Palmerston,-12.486,130.9833,88.93,67,75,21.85,AU,2022-01-31 06:46:19,broken clouds
430,Mount Gambier,-37.8333,140.7667,87.71,23,0,17.27,AU,2022-01-31 06:46:19,clear sky
431,Edd,13.9297,41.6925,83.59,48,5,11.7,ER,2022-01-31 06:46:19,clear sky
432,Luwingu,-10.2621,29.9271,63.88,93,100,3.18,ZM,2022-01-31 06:46:20,light rain
433,Yar-Sale,66.8333,70.8333,-4.38,100,93,7.23,RU,2022-01-31 06:46:20,overcast clouds
434,Nagayo,32.8242,129.8861,49.35,32,20,12.66,JP,2022-01-31 06:46:21,few clouds
435,Loukhi,66.0764,33.0381,-6.0,100,100,3.06,RU,2022-01-31 06:46:21,overcast clouds
436,Lavrentiya,65.5833,-171.0,-9.62,91,10,5.44,RU,2022-01-31 06:46:21,clear sky
437,Puksoozero,62.5903,40.6066,9.7,95,100,5.5,RU,2022-01-31 06:46:22,overcast clouds
438,Linden,6.0,-58.3,71.74,99,100,1.36,GY,2022-01-31 06:45:02,light rain
439,Bani Walid,31.7566,13.9942,47.5,43,0,5.82,LY,2022-01-31 06:46:22,clear sky
